"","var_id","code","original_1","original_2","original_3","code_description","shortname"
"142","line_6",8192,13,NA,NA,"Maximal rhythmic coordination. Precise coordination at every rhythmic level.","MaximalCoordination"
"143","line_6",16,4,NA,NA,"Minimal rhythmic coordination. An individualized, rhythmically asynchronous performance.","MinimalCoordination"
"144","line_6",1024,10,NA,NA,"Unified rhythmic coordination. Attacks and releases are generally coordinated but not precisely so.","UnifiedCoordination"
"145","line_6",18,4,1,NA,"Minimal coordination and solo","MinimalCoordinationAndSolo"
"146","line_6",9216,13,10,NA,"Maximal coordination and unified coordination","MaximalCoordinationAndUnifiedCoordination"
"147","line_6",144,7,4,NA,"Moderate coordination and minimal coordination","ModerateCoordinationAndMinimalCoordination"
"148","line_6",1152,10,7,NA,"Unified coordination and moderate coordination","UnifiedCoordinationAndModerateCoordination"
"149","line_6",130,7,1,NA,"Moderate coordination and solo","ModerateCoordinationAndSolo"
"150","line_6",0,0,NA,NA,"No Reading","No Reading"
"151","line_6",8194,13,1,NA,"Maximal coordination and solo","MaximalCoordinationAndSolo"
"152","line_6",8208,13,4,NA,"Maximal coordination and minimal coordination","MaximalCoordinationAndMinimalCoordination"
"153","line_6",8320,13,7,NA,"Maximal coordination and moderate coordination","MaximalCoordinationAndModerateCoordination"
"154","line_7",9216,13,10,NA,"Polyphony polyrhythm and heterophony","PolyphonyPolyrhythmAndHeterophony"
"155","line_7",2,1,NA,NA,"Non-occurrence. No instruments or Two or more instruments perceived to be totally asynchronous.","NonOccurence"
"156","line_7",8192,13,NA,NA,"Polyphony or polyrhythm. The use of simultaneously produced intervals other than unison or the octave. Two-part intervals of this kind are considered polyphony, as well as harmonies of greater complexity. ","PolyphonyPolyrhythm"
"157","line_7",16,4,NA,NA,"Monophony. One instrument playing one note at a time, or in octaves.","Monophony"
"158","line_7",128,7,NA,NA,"Unison. A group of instruments playing the same melody in unison or in octaves, an instrumental solo with simple percussion accompaniment—drum, rattle, sticks, clapping, etc., or any untuned percussion ensemble unless playing in polyrhythm, in which case, code 13 (Polyrhythm) (see Point 5).
","Unison"
"159","line_7",1024,10,NA,NA,"Heterophony. Each instrument plays the same melody in a slightly different manner. The variation is usually rhythmic, with some instruments trailing behind, others pushing forward; or with some instruments more rhythmically active than others.","Heterophony"
"160","line_7",4,2,NA,NA,"Description Not Found","Shortname Not Found"
"161","line_7",144,7,4,NA,"Unison and monophony","UnisonAndMonophony"
"162","line_7",0,0,NA,NA,"No Reading","No Reading"
"163","line_7",18,4,1,NA,"Monophony and non occurence","MonophonyAndNonOccurence"
"164","line_7",130,7,1,NA,"Unison and non occurence","UnisonAndNonOccurence"
"165","line_8",8192,13,NA,NA,"Maximal blend. Total effect is highly sonorous.","MaximalBlend"
"166","line_8",2,1,NA,NA,"Non-occurrence. No group. Only one instrument in the ensemble, or no instruments at all.","NonOccurence"
"167","line_8",1024,10,NA,NA,"Significant Blend.","SignificantBlend"
"168","line_8",16,4,NA,NA,"Minimal blend. Little or no overall sonority. Instruments contrast in tone quality and do not reinforce one another at all.","MinimalBlend"
"169","line_8",128,7,NA,NA,"Medium blend.","MediumBlend"
"170","line_8",0,0,NA,NA,"No Reading","No Reading"
"171","line_8",18,4,1,NA,"Minimal blend and non occurence","MinimalBlendAndNonOccurence"
"172","line_8",130,7,1,NA,"Medium blend and non occurence","MediumBlendAndNonOccurence"
"173","line_9",1024,10,NA,NA,"Unified rhythmic coordination. There is clear-cut coordination of attack and release on the beat.","UnifiedCoordination"
"174","line_9",2,1,NA,NA,"Non-occurrence. No instruments, or no ensemble—one instrument only.","NonOccurence"
"175","line_9",8192,13,NA,NA,"Maximal or highly unified rhythmic coordination. The orchestra is tightly linked together rhythmically.","MaximalCoordination"
"176","line_9",128,7,NA,NA,"Moderate rhythmic coordination. A group that plays together on the beat, or follows the same rhythmic pattern or patterns, in a cohesive fashion.","ModerateCoordination"
"177","line_9",16,4,NA,NA,"Minimal rhythmic coordination. The members of a group share a rhythmic pattern that is so individualized that the effect is extremely asynchronous.","MinimalCoordination"
"178","line_9",0,0,NA,NA,"No Reading","No Reading"
"179","line_9",130,7,1,NA,"Moderate coordination and non occurence","ModerateCoordinationAndNonOccurence"
"180","line_10",2,1,NA,NA,"Little or no repetition—wordy. A continuous stream of dissimilar sung syllables, words, and phrases, with little or no repetition or use of non-lexical utterances. In such songs—epics, ballads, songs of prayer and supplication, and much of Western and Eurasian song—text is of paramount importance.","LittleRepetition"
"181","line_10",16,4,NA,NA,"Some repetition. Some repetition and/or the use of non-lexical utterances—about one fourth repeated text.","SomeRepetition"
"182","line_10",128,7,NA,NA,"Half repetition. A substantial amount of repetition and/or non-lexical utterances that more or less equals the flow of unrepeated words.","HalfRepetition"
"183","line_10",9216,13,10,NA,"Extreme repetition and quite repetitious","ExtremeRepetitionAndQuiteRepetitious"
"184","line_10",8192,13,NA,NA," Extreme repetition. The text seems to be almost entirely composed of repetition of some kind and/or non-lexical utterances.","ExtremeRepetition"
"185","line_10",1024,10,NA,NA,"Quite repetitious. Considerably more than half (about two-thirds) of the sung performance is accounted for by repetition and/or non-lexical utterances.","QuiteRepetitious"
"186","line_10",130,7,1,NA,"Half repetition and little repetition","HalfRepetitionAndLittleRepetition"
"187","line_10",144,7,4,NA,"Half repetition and some repetition","HalfRepetitionAndSomeRepetition"
"188","line_10",18,4,1,NA,"Some repetition and little repetition","SomeRepetitionAndLittleRepetition"
"189","line_10",0,0,NA,NA,"No Reading","No Reading"
"190","line_10",1026,10,1,NA,"Quite repetitious and little repetition","QuiteRepetitiousAndLittleRepetition"
"191","line_10",8208,13,4,NA,"Extreme repetition and some repetition","ExtremeRepetitionAndSomeRepetition"
"192","line_10",8320,13,7,NA,"Extreme repetition and half repetition","ExtremeRepetitionAndHalfRepetition"
"193","line_10",8194,13,1,NA,"Extreme repetition and little repetition","ExtremeRepetitionAndLittleRepetition"
"194","line_10",1152,10,7,NA,"Quite repetitious and half repetition","QuiteRepetitiousAndHalfRepetition"
"195","line_10",1040,10,4,NA,"Quite repetitious and some repetition","QuiteRepetitiousAndSomeRepetition"
"196","line_11",64,6,NA,NA,"Simple meter. One simple meter—duple, triple, “simple,” or compound—runs through the whole song.","SimpleMeter"
"197","line_11",8192,13,NA,NA,"Parlando rubato. Free rhythm, in which no regularly recurring beat can be distinguished, is often close to speech in general effect. Accents and rhythmic patterns are grouped in meaningful ways, but without reference to a regular division of time into steady beats.","ParlandoRubato"
"198","line_11",2048,11,NA,NA,"Irregular meter. No single meter prevails throughout. ","IrregularMeter"
"199","line_11",512,9,NA,NA,"Complex meter. Here, as with 6 (simple meter), one meter prevails throughout the song. In 9, however, the measure cannot be evenly divided by two or three to form subunits of two or three beats each. ","ComplexMeter"
"200","line_11",8,3,NA,NA,"One-beat rhythm. A series of equally accented single notes of about the same length.","OneBeat"
"201","line_11",10240,13,11,NA,"Parlando rubato and irregular meter","ParlandoRubatoAndIrregularMeter"
"202","line_11",2560,11,9,NA,"Irregular meter and complex meter","IrregularMeterAndComplexMeter"
"203","line_11",8704,13,9,NA,"Parlando rubato and complex meter","ParlandoRubatoAndComplexMeter"
"204","line_11",2,1,NA,NA,"Non-occurrence. No singers.","NonOccurence"
"205","line_11",72,6,3,NA,"Simple meter and one beat","SimpleMeterAndOneBeat"
"206","line_11",0,0,NA,NA,"No Reading","No Reading"
"207","line_11",96,6,5,NA,"Simple meter and shortname not found","SimpleMeterAndShortname Not Found"
"208","line_11",66,6,1,NA,"Simple meter and non occurence","SimpleMeterAndNonOccurence"
"209","line_11",8256,13,6,NA,"Parlando rubato and simple meter","ParlandoRubatoAndSimpleMeter"
"210","line_11",2056,11,3,NA,"Irregular meter and one beat","IrregularMeterAndOneBeat"
"211","line_11",8200,13,3,NA,"Parlando rubato and one beat","ParlandoRubatoAndOneBeat"
"212","line_12",2,1,NA,NA,"Non-patterned. No rhythmic coherence of any sort. Each individual is independent and does not relate rhythmically to the others. Also, a solo singer.","NonPatterened"
"213","line_12",8,3,NA,NA,"Rhythmic unison. All voices move together with little or no rhythmic independence. A group may sing in parts and still be in rhythmic unison. All parts follow basically the same rhythm, so that they move together note for note.","RhythmicUnison"
"214","line_12",512,9,NA,NA,"Simple polyrhythm. All of the parts basically conform to a single pulse. However, there are moments when one of the parts will temporarily deviate from the basic pulse to create a new pulse in conflict with it. ","SimplePolyrhythm"
"215","line_12",32,5,NA,NA,"Rhythmic heterophony. The singers tend to follow the same rhythmic pattern but one or more singers consistently deviates from the others in some way. Some may be out of phase with and trail the others; some may embellish the melody in an individual manner, or use more or less rubato than the others. They may follow the rhythm in a general way, trailing and catching up between the notes.","RhythmicHeterophony"
